Comunidades y Ciudades Autónomas;Renta anual neta media por hogar;Periodo;Total
01 Andalucía;Renta neta media por hogar;2023;29.916
01 Andalucía;Renta neta media por hogar;2022;27.446
01 Andalucía;Renta neta media por hogar;2021;25.601
01 Andalucía;Renta neta media por hogar;2020;25.909
02 Aragón;Renta neta media por hogar;2023;35.026
02 Aragón;Renta neta media por hogar;2022;33.181
02 Aragón;Renta neta media por hogar;2021;32.067
02 Aragón;Renta neta media por hogar;2020;31.529
03 Asturias, Principado de;Renta neta media por hogar;2023;33.709
03 Asturias, Principado de;Renta neta media por hogar;2022;30.187
03 Asturias, Principado de;Renta neta media por hogar;2021;28.369
03 Asturias, Principado de;Renta neta media por hogar;2020;28.284
04 Balears, Illes;Renta neta media por hogar;2023;36.904
04 Balears, Illes;Renta neta media por hogar;2022;32.404
04 Balears, Illes;Renta neta media por hogar;2021;29.368
04 Balears, Illes;Renta neta media por hogar;2020;33.115
05 Canarias;Renta neta media por hogar;2023;31.296
05 Canarias;Renta neta media por hogar;2022;27.568
05 Canarias;Renta neta media por hogar;2021;26.392
05 Canarias;Renta neta media por hogar;2020;25.855
06 Cantabria;Renta neta media por hogar;2023;33.373
06 Cantabria;Renta neta media por hogar;2022;32.582
06 Cantabria;Renta neta media por hogar;2021;30.447
06 Cantabria;Renta neta media por hogar;2020;30.309
07 Castilla y León;Renta neta media por hogar;2023;31.863
07 Castilla y León;Renta neta media por hogar;2022;30.212
07 Castilla y León;Renta neta media por hogar;2021;28.890
07 Castilla y León;Renta neta media por hogar;2020;29.125
08 Castilla - La Mancha;Renta neta media por hogar;2023;29.965
08 Castilla - La Mancha;Renta neta media por hogar;2022;27.864
08 Castilla - La Mancha;Renta neta media por hogar;2021;26.060
08 Castilla - La Mancha;Renta neta media por hogar;2020;26.722
09 Cataluña;Renta neta media por hogar;2023;38.888
09 Cataluña;Renta neta media por hogar;2022;36.163
09 Cataluña;Renta neta media por hogar;2021;34.982
09 Cataluña;Renta neta media por hogar;2020;35.030
10 Comunitat Valenciana;Renta neta media por hogar;2023;31.324
10 Comunitat Valenciana;Renta neta media por hogar;2022;29.026
10 Comunitat Valenciana;Renta neta media por hogar;2021;27.603
10 Comunitat Valenciana;Renta neta media por hogar;2020;27.948
11 Extremadura;Renta neta media por hogar;2023;27.051
11 Extremadura;Renta neta media por hogar;2022;24.326
11 Extremadura;Renta neta media por hogar;2021;22.947
11 Extremadura;Renta neta media por hogar;2020;22.250
12 Galicia;Renta neta media por hogar;2023;31.301
12 Galicia;Renta neta media por hogar;2022;29.616
12 Galicia;Renta neta media por hogar;2021;27.698
12 Galicia;Renta neta media por hogar;2020;27.862
13 Madrid, Comunidad de;Renta neta media por hogar;2023;42.926
13 Madrid, Comunidad de;Renta neta media por hogar;2022;39.856
13 Madrid, Comunidad de;Renta neta media por hogar;2021;37.687
13 Madrid, Comunidad de;Renta neta media por hogar;2020;37.051
14 Murcia, Región de;Renta neta media por hogar;2023;30.509
14 Murcia, Región de;Renta neta media por hogar;2022;28.741
14 Murcia, Región de;Renta neta media por hogar;2021;27.027
14 Murcia, Región de;Renta neta media por hogar;2020;26.925
15 Navarra, Comunidad Foral de;Renta neta media por hogar;2023;41.187
15 Navarra, Comunidad Foral de;Renta neta media por hogar;2022;39.661
15 Navarra, Comunidad Foral de;Renta neta media por hogar;2021;38.086
15 Navarra, Comunidad Foral de;Renta neta media por hogar;2020;37.728
16 País Vasco;Renta neta media por hogar;2023;42.760
16 País Vasco;Renta neta media por hogar;2022;38.712
16 País Vasco;Renta neta media por hogar;2021;36.887
16 País Vasco;Renta neta media por hogar;2020;37.598
17 Rioja, La;Renta neta media por hogar;2023;33.245
17 Rioja, La;Renta neta media por hogar;2022;31.874
17 Rioja, La;Renta neta media por hogar;2021;30.598
17 Rioja, La;Renta neta media por hogar;2020;32.096
18 Ceuta;Renta neta media por hogar;2023;40.621
18 Ceuta;Renta neta media por hogar;2022;36.662
18 Ceuta;Renta neta media por hogar;2021;31.494
18 Ceuta;Renta neta media por hogar;2020;28.824
19 Melilla;Renta neta media por hogar;2023;39.727
19 Melilla;Renta neta media por hogar;2022;38.388
19 Melilla;Renta neta media por hogar;2021;36.038
19 Melilla;Renta neta media por hogar;2020;37.138
